startYear,avgruntime
1920,65.255652173913
1921,67.1053604436229
1922,68.4149908592322
1923,73.1950286806883
1924,72.636678200692
1925,73.1231231231231
1926,73.8255813953488
1927,72.5757575757576
1928,74.7705128205128
1929,78.2669432918396
1930,78.722536806342
1931,79.9338695263628
1932,78.131217838765
1933,80.6169642857143
1934,81.8748957464554
1935,79.5106215578285
1936,81.2718861209964
1937,81.2577030812325
1938,82.958273381295
1939,84.5003819709702
1940,84.1365105008078
1941,86.3615520282187
1942,85.5653287788215
1943,85.2084837545126
1944,85.0903083700441
1945,85.3593179049939
1946,85.6071044133477
1947,87.2531894013739
1948,86.9267857142857
1949,89.1822580645161
1950,89.3308550185874
1951,89.5790240349599
1952,90.9336219336219
1953,91.7863421230561
1954,92.4891156462585
1955,92.774130006566
1956,92.2014833127318
1957,91.0949656750572
1958,91.5515256188831
1959,92.0615982241953
1960,92.5344638949672
1961,91.9962586851951
1962,93.1610703043022
1963,93.6583569405099
1964,94.4306049822064
1965,93.6790939122227
1966,92.699512195122
1967,95.2764578833693
1968,94.6071563088512
1969,91.9258979206049
1970,92.5793882010197
1971,90.3180362860192
1972,90.111937654977
1973,89.8282792665726
1974,90.5902877697842
1975,89.3650190114068
1976,90.1381464769177
1977,91.5078014184397
1978,90.1201253481894
1979,90.387347767253
1980,91.715027700831
1981,91.3096121416526
1982,92.4183050847458
1983,91.1247963506028
1984,90.7821556496255
1985,92.2137998056365
1986,91.0375283079909
1987,94.3259842519685
1988,92.4019153537226
1989,92.5318042813456
1990,92.1734947237741
1991,92.7109349190618
1992,93.235758407687
1993,93.9095152603232
1994,92.4822147651007
1995,92.0194678780013
1996,93.0694893341952
1997,92.0911278195489
1998,91.269039976656
1999,91.942123094297
2000,91.1580872746276
2001,90.9963556851312
2002,91.0486190367496
2003,90.2295907660021
2004,91.378830607257
2005,89.2910273515677
2006,89.4447643582361
2007,89.0853416501276
2008,88.3489558037882
2009,87.3649309245483
2010,87.4845260177682
2011,88.7744312425163
2012,91.6148521620236
2013,88.4704270749396
2014,88.4248400852878
2015,89.3199525116866
2016,89.2825431034483
2017,90.1072508615233
2018,91.1062812276945
2019,94.5054339844324
2020,93.3332103661348
2021,92.3510365251728
2022,93.4376528117359
2023,103.931506849315
2024,123.2
2025,105
